tweet,pos,emo
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Jetzt noch mal toller für Homeoffice-Kolleg*Innen von 4-50Jahren: <br>Digitale Tiefenentspannung dank Patricia Cammaratas „Dreißig Minuten, dann ist aber Schluss!“<a href=""https://twitter.com/hashtag/medienkompetenz?src=hash&amp;ref_src=twsrc%5Etfw"">#medienkompetenz</a> &amp; <a href=""https://twitter.com/hashtag/Familienfrieden?src=hash&amp;ref_src=twsrc%5Etfw"">#Familienfrieden</a> in Zeiten von <a href=""https://twitter.com/hashtag/corona?src=hash&amp;ref_src=twsrc%5Etfw"">#corona</a> by <a href=""https://twitter.com/dasnuf?ref_src=twsrc%5Etfw"">@dasnuf</a> <a href=""https://t.co/PNuA1GuPfC"">pic.twitter.com/PNuA1GuPfC</a></p>&mdash; Tanja Haeusler (@elektrotanja) <a href=""https://twitter.com/elektrotanja/status/1242860928309374978?ref_src=twsrc%5Etfw"">March 25, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Positiv,
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Corona-Pandemie: <a href=""https://twitter.com/hashtag/Leopoldina?src=hash&amp;ref_src=twsrc%5Etfw"">#Leopoldina</a> empfiehlt &quot;Shutdown&quot; für drei Wochen - Forschung &amp; Lehre<a href=""https://t.co/MWtFt4LJCo"">https://t.co/MWtFt4LJCo</a> <a href=""https://twitter.com/hashtag/COVID19?src=hash&amp;ref_src=twsrc%5Etfw"">#COVID19</a></p>&mdash; Matthias Noortwijck (@ma_noo) <a href=""https://twitter.com/ma_noo/status/1241684697970810881?ref_src=twsrc%5Etfw"">March 22, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Positiv,Sachlich
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Auch Spanien meldet über 100.000 Corona-Infektionen <a href=""https://t.co/rNSgqGRnVf"">https://t.co/rNSgqGRnVf</a> via <a href=""https://twitter.com/Pressecop24com?ref_src=twsrc%5Etfw"">@Pressecop24com</a></p>&mdash; Holger Ewald (@HolgerEwald1) <a href=""https://twitter.com/HolgerEwald1/status/1245289016217526273?ref_src=twsrc%5Etfw"">April 1, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ,Nicht zutreffend
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Die Lösung ist so einfach! In Turkmenistan 🇹🇲 gibt es kein Corona. <a href=""https://twitter.com/hashtag/CoronaPandemie?src=hash&amp;ref_src=twsrc%5Etfw"">#CoronaPandemie</a> <a href=""https://twitter.com/hashtag/COVID19?src=hash&amp;ref_src=twsrc%5Etfw"">#COVID19</a> <a href=""https://twitter.com/hashtag/COVID19de?src=hash&amp;ref_src=twsrc%5Etfw"">#COVID19de</a> <a href=""https://twitter.com/hashtag/coronavirus?src=hash&amp;ref_src=twsrc%5Etfw"">#coronavirus</a><a href=""https://t.co/90DFQYcxGd"">https://t.co/90DFQYcxGd</a></p>&mdash; Philipp Reichel (@psycho_theorist) <a href=""https://twitter.com/psycho_theorist/status/1245215191815663618?ref_src=twsrc%5Etfw"">April 1, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ,Emotional
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Volkswirtschaft am Laufen halten, Grundversorgung sichern, Innovationsfähigkeit erhalten! - <a href=""https://twitter.com/acatech_de?ref_src=twsrc%5Etfw"">@acatech_de</a> präsentiert Denkanstöße zur Corona-Krise. 🙏 an <a href=""https://twitter.com/th_sattelberger?ref_src=twsrc%5Etfw"">@th_sattelberger</a> für‘s Teilen - LINK: <a href=""https://t.co/5AzVGk0ieQ"">https://t.co/5AzVGk0ieQ</a> <a href=""https://t.co/oTEELUsNmW"">pic.twitter.com/oTEELUsNmW</a></p>&mdash; Tom (Thomas) Meiers 托马斯 (@Tom_Meiers_VW) <a href=""https://twitter.com/Tom_Meiers_VW/status/1244358243306135554?ref_src=twsrc%5Etfw"">March 29, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Positiv,Sachlich
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Der Zentralverband der deutschen Werbewirtschaft <a href=""https://twitter.com/hashtag/ZAW?src=hash&amp;ref_src=twsrc%5Etfw"">#ZAW</a> wagt eine erste <a href=""https://twitter.com/hashtag/Prognose?src=hash&amp;ref_src=twsrc%5Etfw"">#Prognose</a> zu den Folgen der <a href=""https://twitter.com/hashtag/Corona?src=hash&amp;ref_src=twsrc%5Etfw"">#Corona</a>-Pandemie auf den deutschen <a href=""https://twitter.com/hashtag/Werbemarkt?src=hash&amp;ref_src=twsrc%5Etfw"">#Werbemarkt</a>. Es sieht nicht gut aus. <a href=""https://t.co/4sItEu14QT"">https://t.co/4sItEu14QT</a></p>&mdash; HORIZONT (@Horizont) <a href=""https://twitter.com/Horizont/status/1244974062507606017?ref_src=twsrc%5Etfw"">March 31, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ,Sachlich
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">+++ Eil: Die <a href=""https://twitter.com/hashtag/Corona?src=hash&amp;ref_src=twsrc%5Etfw"">#Corona</a>-<a href=""https://twitter.com/hashtag/Pandemie?src=hash&amp;ref_src=twsrc%5Etfw"">#Pandemie</a> wird die <a href=""https://twitter.com/hashtag/Wirtschaft?src=hash&amp;ref_src=twsrc%5Etfw"">#Wirtschaft</a> stark beschädigen - das sagen die <a href=""https://twitter.com/hashtag/Wirtschaftsweisen?src=hash&amp;ref_src=twsrc%5Etfw"">#Wirtschaftsweisen</a> in einem Sondergutachten. Eine <a href=""https://twitter.com/hashtag/Rezession?src=hash&amp;ref_src=twsrc%5Etfw"">#Rezession</a> in Deutschland sei unvermeidbar. <a href=""https://twitter.com/hashtag/covid19?src=hash&amp;ref_src=twsrc%5Etfw"">#covid19</a> <a href=""https://twitter.com/hashtag/CoronaVirusDE?src=hash&amp;ref_src=twsrc%5Etfw"">#CoronaVirusDE</a> <a href=""https://twitter.com/hashtag/coronavirus?src=hash&amp;ref_src=twsrc%5Etfw"">#coronavirus</a><a href=""https://t.co/lHbQpuRgh6"">https://t.co/lHbQpuRgh6</a></p>&mdash; ZDF heute (@ZDFheute) <a href=""https://twitter.com/ZDFheute/status/1244554039934754816?ref_src=twsrc%5Etfw"">March 30, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ,Sachlich
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Heute bin ich zu Gast in der Abendschau im Bayerischen Fernsehen. Spiele ein Lied vom neuen Album und werde über die aktuelle Situation berichten - 18:15 live!!<a href=""https://twitter.com/hashtag/einschalten?src=hash&amp;ref_src=twsrc%5Etfw"">#einschalten</a> <a href=""https://twitter.com/hashtag/tv?src=hash&amp;ref_src=twsrc%5Etfw"">#tv</a> <a href=""https://twitter.com/hashtag/liveauftritt?src=hash&amp;ref_src=twsrc%5Etfw"">#liveauftritt</a> <a href=""https://twitter.com/hashtag/interview?src=hash&amp;ref_src=twsrc%5Etfw"">#interview</a> <a href=""https://twitter.com/hashtag/corona?src=hash&amp;ref_src=twsrc%5Etfw"">#corona</a>… <a href=""https://t.co/5Xzcn197q1"">https://t.co/5Xzcn197q1</a></p>&mdash; San2 (@san2news) <a href=""https://twitter.com/san2news/status/1239526862545735682?ref_src=twsrc%5Etfw"">March 16, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Neutral,Emotional
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Gibt es eigentlich eine Virus-Folge bei &quot;Es war einmal ... der Mensch&quot;?<br>Und hat man bei &quot;Kindersendungen&quot; früher eigentlich wirklich mehr gelernt als heute 🤔?<a href=""https://twitter.com/hashtag/retro?src=hash&amp;ref_src=twsrc%5Etfw"">#retro</a> <a href=""https://twitter.com/hashtag/CoronaVirusDE?src=hash&amp;ref_src=twsrc%5Etfw"">#CoronaVirusDE</a> <a href=""https://twitter.com/hashtag/Covid_19?src=hash&amp;ref_src=twsrc%5Etfw"">#Covid_19</a> <a href=""https://twitter.com/hashtag/COVID19?src=hash&amp;ref_src=twsrc%5Etfw"">#COVID19</a></p>&mdash; Alexander Salomon (@salomon_alex) <a href=""https://twitter.com/salomon_alex/status/1245843259114450946?ref_src=twsrc%5Etfw"">April 2, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Neutral,Nicht zutreffend
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Wenn die Ärztin selbst Coronavirus-Atemschutzmasken bastelt...<br>Eine Brandenburger Hausärztin greift in der Corona-Krise zu ungewöhnlichen Methoden und näht Schutzmasken aus Bettlaken.<a href=""https://t.co/JMXQOk61XJ"">https://t.co/JMXQOk61XJ</a> <a href=""https://t.co/dghD6jGmoi"">pic.twitter.com/dghD6jGmoi</a></p>&mdash; Ärzte Zeitung (@aerztezeitung) <a href=""https://twitter.com/aerztezeitung/status/1242798787485204490?ref_src=twsrc%5Etfw"">March 25, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ,Nicht zutreffend
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">K2 zu <a href=""https://twitter.com/hashtag/Corona?src=hash&amp;ref_src=twsrc%5Etfw"">#Corona</a> und den Schulschließungen: &quot;Mama sagt, dass nach den 5 Wochen sich entweder viele scheiden lassen oder viele Kinder kommen. Das mit dem scheiden lassen versteh ich, aber kannst du mir erklären, warum viele Kinder kommen?&quot;</p>&mdash; Hendrik bleibt zu Hause! (@HendrikEpe) <a href=""https://twitter.com/HendrikEpe/status/1238529191349571590?ref_src=twsrc%5Etfw"">March 13, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Positiv,Emotional
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Was die tschechische Regierung mit <a href=""https://twitter.com/hashtag/Grenzg%C3%A4ngern?src=hash&amp;ref_src=twsrc%5Etfw"">#Grenzgängern</a> nach D und AT macht, ist ein europäischer Skandal. Statt täglich pendeln, sollen sie für 3 Wochen irgendein Quartier beziehen. Wer Baustellenunterkünfte kennt, weiß um Ansteckungsgefahren <a href=""https://twitter.com/hashtag/COVID%E3%83%BC19?src=hash&amp;ref_src=twsrc%5Etfw"">#COVIDー19</a> <a href=""https://twitter.com/hashtag/Corona?src=hash&amp;ref_src=twsrc%5Etfw"">#Corona</a></p>&mdash; Markus Schlimbach (@SchlimbachDGB) <a href=""https://twitter.com/SchlimbachDGB/status/1242156515680804869?ref_src=twsrc%5Etfw"">March 23, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",,Emotional
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Züge und Busse werden in der Lausitz, angesichts des lahm gelegten öffentlichen Lebens, momentan kaum genutzt. Die Schüler sind in der Corona-Zwangspause, Berufspendler im Home Office. Verkehrsdienstleister fahren nun ihre Angebote zurück. <a href=""https://t.co/6ERY7fymdN"">https://t.co/6ERY7fymdN</a></p>&mdash; Lausitzer Rundschau (@lr_online) <a href=""https://twitter.com/lr_online/status/1241711588853395457?ref_src=twsrc%5Etfw"">March 22, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ,Sachlich
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Heiger Scholz leitet Corona-Krisenstab - Ist Niedersachsen vorbereitet? <a href=""https://t.co/gjUxnsPghy"">https://t.co/gjUxnsPghy</a> <a href=""https://twitter.com/hashtag/Hannover?src=hash&amp;ref_src=twsrc%5Etfw"">#Hannover</a> <a href=""https://twitter.com/hashtag/Nachrichten?src=hash&amp;ref_src=twsrc%5Etfw"">#Nachrichten</a></p>&mdash; BILD Hannover (@BILD_Hannover) <a href=""https://twitter.com/BILD_Hannover/status/1241978926278246401?ref_src=twsrc%5Etfw"">March 23, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Neutral,Emotional
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">„European Commission: Verteidigt unsere Demokratie in der Corona-Krise!” - Jetzt unterschreiben! <a href=""https://t.co/3wexjcdQN7"">https://t.co/3wexjcdQN7</a> via <a href=""https://twitter.com/ChangeGER?ref_src=twsrc%5Etfw"">@ChangeGER</a></p>&mdash; Claus-Thomas Soost (@CSoost) <a href=""https://twitter.com/CSoost/status/1245394319709741056?ref_src=twsrc%5Etfw"">April 1, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Positiv,Emotional
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr""><a href=""https://t.co/QpVCOXwsIL"">https://t.co/QpVCOXwsIL</a><br><br>Danke für den Hinweis <a href=""https://twitter.com/WadeHamburg?ref_src=twsrc%5Etfw"">@WadeHamburg</a> wenn die Corona Krise vorbei ist, sollten wir auch daraus lernen, diesen Mangel an Hilfen zu überwinden. Wie wunderbar, dass ihr dabei jetzt schon so vorangeht, dass in ganz Deutschland von euch gelernt werden kann</p>&mdash; Active Aging Agentur (@AgenturAging) <a href=""https://twitter.com/AgenturAging/status/1245586443637886976?ref_src=twsrc%5Etfw"">April 2, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Positiv,Emotional
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Schön, wenn überall wieder Magnolien und Kirschblüten 🌸 blühen 🥰- wenn da Corona nicht wäre 😒... <a href=""https://twitter.com/hashtag/running?src=hash&amp;ref_src=twsrc%5Etfw"">#running</a> <a href=""https://twitter.com/hashtag/runners?src=hash&amp;ref_src=twsrc%5Etfw"">#runners</a> <a href=""https://twitter.com/hashtag/instarun?src=hash&amp;ref_src=twsrc%5Etfw"">#instarun</a> <a href=""https://twitter.com/hashtag/instarunners?src=hash&amp;ref_src=twsrc%5Etfw"">#instarunners</a> <a href=""https://twitter.com/hashtag/runnerscommunity?src=hash&amp;ref_src=twsrc%5Etfw"">#runnerscommunity</a> <a href=""https://twitter.com/hashtag/laufen?src=hash&amp;ref_src=twsrc%5Etfw"">#laufen</a> <a href=""https://twitter.com/hashtag/laufenindortmund?src=hash&amp;ref_src=twsrc%5Etfw"">#laufenindortmund</a> <a href=""https://twitter.com/hashtag/runnerslife?src=hash&amp;ref_src=twsrc%5Etfw"">#runnerslife</a> <a href=""https://twitter.com/hashtag/runnersofinstagram?src=hash&amp;ref_src=twsrc%5Etfw"">#runnersofinstagram</a>… <a href=""https://t.co/1F0J6XISgx"">https://t.co/1F0J6XISgx</a></p>&mdash; Sassi Z. (@zimmer_saskia) <a href=""https://twitter.com/zimmer_saskia/status/1239675585447833601?ref_src=twsrc%5Etfw"">March 16, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ,Emotional
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Der Dackel Alex 🐶 zeigt Kindern, wie sie sich gegen Corona schützen können 🧐👉 Der Comic &quot;Alex &amp; Bioman&quot;, entwickelt vom Gewinnerteam des <a href=""https://twitter.com/hashtag/Hochschulwettbewerb?src=hash&amp;ref_src=twsrc%5Etfw"">#Hochschulwettbewerb</a>, erläutert mit witzigen Illustrationen, worauf die Kleinen nun achten müssen ➡️<a href=""https://t.co/J115ywJ8bO"">https://t.co/J115ywJ8bO</a></p>&mdash; Forschungsboerse (@forsch_boerse) <a href=""https://twitter.com/forsch_boerse/status/1245705035574542337?ref_src=twsrc%5Etfw"">April 2, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Positiv,Emotional
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">*** BILDplus Inhalt *** Er hat selbst das Corona-Virus - Professor erfindet App, die Leben retten kann <a href=""https://t.co/tpAYStOqmw"">https://t.co/tpAYStOqmw</a></p>&mdash; BILD News (@BILD_News) <a href=""https://twitter.com/BILD_News/status/1244496785277673472?ref_src=twsrc%5Etfw"">March 30, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Positiv,Emotional
"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Bad Guys Push New COVID-19 Message: You Are Infected <a href=""https://t.co/8zMWxWimzJ"">https://t.co/8zMWxWimzJ</a> <a href=""https://t.co/8j399mowsd"">pic.twitter.com/8j399mowsd</a></p>&mdash; Datenschutz Aktuell (@DSAgentur) <a href=""https://twitter.com/DSAgentur/status/1245292081595195392?ref_src=twsrc%5Etfw"">April 1, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ,Emotional
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Sport in Gruppen ist wegen der <a href=""https://twitter.com/hashtag/Corona?src=hash&amp;ref_src=twsrc%5Etfw"">#Corona</a>-Krise derzeit in Deutschland nicht erlaubt. In Nordrhein-Westfalen gibt es aber eine Ausnahme für Profi-Sportler. Borussia Dortmund hat die Regel schon umgesetzt: <a href=""https://t.co/lJWgygqiN0"">https://t.co/lJWgygqiN0</a></p>&mdash; Frankfurter Allgemeine gesamt (@FAZ_NET) <a href=""https://twitter.com/FAZ_NET/status/1245371783857033218?ref_src=twsrc%5Etfw"">April 1, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ,Sachlich
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">.<a href=""https://twitter.com/Janine_Wissler?ref_src=twsrc%5Etfw"">@Janine_Wissler</a>: Millionen Menschen bangen in der <a href=""https://twitter.com/hashtag/Corona?src=hash&amp;ref_src=twsrc%5Etfw"">#Corona</a>-Krise um ihre Gesundheit und ihre ökonomische Existenz. Die Krise erfordert Solidarität mit all jenen, die diese Krise besonders hart trifft, gesundheitlich, finanziell und persönlich.“ <a href=""https://twitter.com/hashtag/HLT?src=hash&amp;ref_src=twsrc%5Etfw"">#HLT</a> <a href=""https://twitter.com/hashtag/Hessen?src=hash&amp;ref_src=twsrc%5Etfw"">#Hessen</a> <a href=""https://twitter.com/hashtag/CoronaVirusDE?src=hash&amp;ref_src=twsrc%5Etfw"">#CoronaVirusDE</a></p>&mdash; Linksfraktion Hessen (@LinkeLTGHessen) <a href=""https://twitter.com/LinkeLTGHessen/status/1242448568255942656?ref_src=twsrc%5Etfw"">March 24, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ,Emotional
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Corona-Krise belastet - Studie: So viele Wochen reicht die Liquidität der Airlines noch<br><br>Keine Ticketverkäufe, kein Bares. Europas Fluggesellschaften geht ohne frische Mittel nach und nach das Geld aus. Ein Überblick über Liquiditätsreserven und Ausgaben… <a href=""https://t.co/MGXsaitvGv"">https://t.co/MGXsaitvGv</a></p>&mdash; Finanzen-News (@News_Finanzen_) <a href=""https://twitter.com/News_Finanzen_/status/1245250921178771456?ref_src=twsrc%5Etfw"">April 1, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ,Sachlich
"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">That Virus just got me 4 weeks of Corona break</p>&mdash; neele (@neeleste02) <a href=""https://twitter.com/neeleste02/status/1238453135351459842?ref_src=twsrc%5Etfw"">March 13, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ,Nicht zutreffend
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Berliner Senat überlegt vorübergehende Tegel-Schließung <a href=""https://t.co/GIFr12wZM6"">https://t.co/GIFr12wZM6</a> <a href=""https://twitter.com/hashtag/Nachrichten?src=hash&amp;ref_src=twsrc%5Etfw"">#Nachrichten</a> <a href=""https://twitter.com/hashtag/Politik?src=hash&amp;ref_src=twsrc%5Etfw"">#Politik</a> <a href=""https://twitter.com/hashtag/Wirtschaft?src=hash&amp;ref_src=twsrc%5Etfw"">#Wirtschaft</a> <a href=""https://twitter.com/hashtag/Deutschland?src=hash&amp;ref_src=twsrc%5Etfw"">#Deutschland</a> <a href=""https://twitter.com/hashtag/Gesundheit?src=hash&amp;ref_src=twsrc%5Etfw"">#Gesundheit</a> <a href=""https://twitter.com/hashtag/CoronaVirusDE?src=hash&amp;ref_src=twsrc%5Etfw"">#CoronaVirusDE</a> <a href=""https://twitter.com/hashtag/coronavirusdeutschland?src=hash&amp;ref_src=twsrc%5Etfw"">#coronavirusdeutschland</a> <a href=""https://twitter.com/hashtag/CoronaVirusUpdate?src=hash&amp;ref_src=twsrc%5Etfw"">#CoronaVirusUpdate</a> <a href=""https://twitter.com/hashtag/COVID2019?src=hash&amp;ref_src=twsrc%5Etfw"">#COVID2019</a> <a href=""https://twitter.com/hashtag/COVID19?src=hash&amp;ref_src=twsrc%5Etfw"">#COVID19</a> <a href=""https://twitter.com/hashtag/COVID_19?src=hash&amp;ref_src=twsrc%5Etfw"">#COVID_19</a> <a href=""https://twitter.com/hashtag/Corona?src=hash&amp;ref_src=twsrc%5Etfw"">#Corona</a> <a href=""https://twitter.com/hashtag/VirusCorona?src=hash&amp;ref_src=twsrc%5Etfw"">#VirusCorona</a> <a href=""https://twitter.com/hashtag/coronavirus?src=hash&amp;ref_src=twsrc%5Etfw"">#coronavirus</a> <a href=""https://twitter.com/hashtag/COVID?src=hash&amp;ref_src=twsrc%5Etfw"">#COVID</a></p>&mdash; Alfred Hampp - Redakteur (@AlfredHampp) <a href=""https://twitter.com/AlfredHampp/status/1242923282908745730?ref_src=twsrc%5Etfw"">March 25, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ,Sachlich
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Das 6. Nachfolgeforum der Wirtschaftsregion am 11. Mai wird aufgrund von COVID-19 abgesagt.<br><br>Ob die Veranstaltung zu einem späteren Zeitpunkt nachgeholt werden kann, ist bislang noch nicht absehbar. Wir werden Sie hier und auf unserer Internetseite informieren.<a href=""https://twitter.com/hashtag/nachfolgeforum?src=hash&amp;ref_src=twsrc%5Etfw"">#nachfolgeforum</a> <a href=""https://t.co/hpA4ZUHyLZ"">pic.twitter.com/hpA4ZUHyLZ</a></p>&mdash; Wirtschaftsregion Westbrandenburg (@westbrandenburg) <a href=""https://twitter.com/westbrandenburg/status/1242429007330672640?ref_src=twsrc%5Etfw"">March 24, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ,Sachlich
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Grüne „Corona-Privatparty“? Berliner Bezirksbürgermeister infiziert sich absichtlich <a href=""https://t.co/HJbbfis709"">https://t.co/HJbbfis709</a> via <a href=""https://twitter.com/jouwatch?ref_src=twsrc%5Etfw"">@jouwatch</a></p>&mdash; Holger Ewald (@HolgerEwald1) <a href=""https://twitter.com/HolgerEwald1/status/1245629334238330881?ref_src=twsrc%5Etfw"">April 2, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ,Sachlich
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Woche 3 und gerade mal wahrscheinlich <a href=""https://twitter.com/hashtag/Halbzeit?src=hash&amp;ref_src=twsrc%5Etfw"">#Halbzeit</a>: Wie Unternehmen die <a href=""https://twitter.com/hashtag/Corona?src=hash&amp;ref_src=twsrc%5Etfw"">#Corona</a> Krise nutzen und neue Ideen und Lösungen umsetzen. Was beeindruckt euch zurzeit in eurem Unternehmen?  <a href=""https://twitter.com/hashtag/zeigthereuretassen?src=hash&amp;ref_src=twsrc%5Etfw"">#zeigthereuretassen</a>  <a href=""https://t.co/2G6gXlJF6u"">https://t.co/2G6gXlJF6u</a></p>&mdash; Team HR (@_TeamHR_) <a href=""https://twitter.com/_TeamHR_/status/1245655506015776769?ref_src=twsrc%5Etfw"">April 2, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Positiv,Emotional
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">300,000 Coronatests in einem Land von 83 Mio. und Herr <a href=""https://twitter.com/hashtag/Spahn?src=hash&amp;ref_src=twsrc%5Etfw"">#Spahn</a> strotzt vor Stolz?😱Am Ende bin ich  gezwungen meine Meinung über sein <a href=""https://twitter.com/hashtag/Corona?src=hash&amp;ref_src=twsrc%5Etfw"">#Corona</a> Management(gut) in miserabel zu ändern.Die Lieferung von Schutzmasken nach 🇮🇹 (Samstag) war verfrüht solange🇩🇪Kliniken selbst nähen müssen</p>&mdash; Loveday (@Lovedaynoel) <a href=""https://twitter.com/Lovedaynoel/status/1242864786943049728?ref_src=twsrc%5Etfw"">March 25, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ,Emotional
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Fuhrparkmanagement in Zeiten der Corona-Krise <a href=""https://t.co/YotoFdYc45"">https://t.co/YotoFdYc45</a><a href=""https://twitter.com/hashtag/Corona?src=hash&amp;ref_src=twsrc%5Etfw"">#Corona</a> <a href=""https://twitter.com/hashtag/Fuhrparkmanagement?src=hash&amp;ref_src=twsrc%5Etfw"">#Fuhrparkmanagement</a> <a href=""https://twitter.com/hashtag/Mobilit%C3%A4t?src=hash&amp;ref_src=twsrc%5Etfw"">#Mobilität</a> <a href=""https://t.co/QnIMKt7KZi"">pic.twitter.com/QnIMKt7KZi</a></p>&mdash; PR Gateway (@presseticker) <a href=""https://twitter.com/presseticker/status/1245062986944954369?ref_src=twsrc%5Etfw"">March 31, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Nicht zutreffend,Nicht zutreffend
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Corona-Krise: Hinweisschleifen in sieben Sprachen in Wien via DAB+ <a href=""https://t.co/Ew9NEBNSgy"">https://t.co/Ew9NEBNSgy</a></p>&mdash; Marco Herrmann (@Kleeblatt1977) <a href=""https://twitter.com/Kleeblatt1977/status/1242732482539249665?ref_src=twsrc%5Etfw"">March 25, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Positiv,Sachlich
